id,customerName,balance,executionDate
1,Leanne Graham,,2024-06-22T11:59:50.203538600
2,Ervin Howell,,2024-06-22T11:59:50.203538600
3,Clementine Bauch,,2024-06-22T11:59:50.203538600
4,Patricia Lebsack,,2024-06-22T11:59:50.203538600
5,Chelsey Dietrich,,2024-06-22T11:59:50.203538600
6,Mrs. Dennis Schulist,,2024-06-22T11:59:50.203538600
7,Kurtis Weissnat,,2024-06-22T11:59:50.203538600
8,Nicholas Runolfsdottir V,,2024-06-22T11:59:50.203538600
9,Glenna Reichert,,2024-06-22T11:59:50.203538600
10,Clementina DuBuque,,2024-06-22T11:59:50.203538600
